IP,Status,CPU_Usage_%,Memory_Usage_%,Disk_Usage_%,Load_Average_1min,Load_Average_5min,Load_Average_15min
10.68.2.1,Failed,N/A,N/A,N/A,,,
10.68.2.3,Success,99.0,84.2,N/A,16.48,10.68,9.02
10.68.2.6,Success,0.0,19.0,N/A,0.24,0.10,0.05
10.68.2.9,Failed,N/A,N/A,N/A,,,
10.68.2.10,Failed,N/A,N/A,N/A,,,
10.68.2.11,Failed,N/A,N/A,N/A,,,
10.68.2.12,Failed,N/A,N/A,N/A,,,
10.68.2.13,Failed,N/A,N/A,N/A,,,
10.68.2.14,Failed,N/A,N/A,N/A,,,
10.68.2.15,Failed,N/A,N/A,N/A,,,
10.68.2.17,Failed,N/A,N/A,N/A,,,
10.68.2.19,Failed,N/A,N/A,N/A,,,
10.68.2.21,Failed,N/A,N/A,N/A,,,
10.68.2.25,Success,24.4,69.2,N/A,1.87,1.84,1.88
10.68.2.27,Failed,N/A,N/A,N/A,,,
10.68.2.31,Failed,N/A,N/A,N/A,,,
10.68.2.32,Success,12.6,82.4,N/A,5.77,5.76,5.66
10.68.2.36,Success,36.3,59.5,N/A,3.16,2.70,2.73
10.68.2.38,Success,25.0,50.6,N/A,8.88,7.56,6.21
10.68.2.39,Success,0.6,25.7,N/A,0.06,0.03,0.01
10.68.2.40,Success,20.3,85.6,N/A,10.47,10.42,10.55
10.68.2.41,Failed,N/A,N/A,N/A,,,
10.68.2.45,Success,15.2,68.3,N/A,1.54,1.73,1.88
10.68.2.46,Success,2.7,9.4,N/A,1.09,1.19,1.24
10.76.2.2,Failed,N/A,N/A,N/A,,,
10.76.2.3,Failed,N/A,N/A,N/A,,,
10.181.191.3,Failed,N/A,N/A,N/A,,,
